index,datetime,service,instance,message,level,anomaly_type,st_time,ed_time,duration,data_type
0,2021-07-01,dbservice,dbservice1,"2021-07-01 11:54:27,616 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:44:26.882752 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 11:44:27.616000,2021-07-01 11:54:27.616000,600,train
1,2021-07-01,dbservice,dbservice1,"2021-07-01 12:25:08,804 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [normal memory freed label] lasts ten minutes",WARNING,[normal memory freed label],2021-07-01 12:25:08.804000,2021-07-01 12:35:08.804000,600,train
2,2021-07-01,dbservice,dbservice1,"2021-07-01 22:33:05,033 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 22:23:04.230332 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 22:23:05.033000,2021-07-01 22:33:05.033000,600,train
3,2021-07-01,dbservice,dbservice2,"2021-07-01 12:54:56,480 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 12:44:55.798971 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 12:44:56.480000,2021-07-01 12:54:56.480000,600,train
4,2021-07-01,dbservice,dbservice2,"2021-07-01 15:10:23,517 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:00:22.680775 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:00:23.517000,2021-07-01 15:10:23.517000,600,train
5,2021-07-01,webservice,webservice2,"2021-07-01 11:16:52,953 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:06:52.249428 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 11:06:52.953000,2021-07-01 11:16:52.953000,600,train
6,2021-07-01,webservice,webservice2,"2021-07-01 15:48:50,914 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:38:50.211766 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:38:50.914000,2021-07-01 15:48:50.914000,600,train
7,2021-07-01,redisservice,redisservice1,"2021-07-01 13:18:43,143 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 13:08:42.446638 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 13:08:43.143000,2021-07-01 13:18:43.143000,600,train
8,2021-07-01,redisservice,redisservice1,"2021-07-01 16:34:39,156 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 16:24:38.443625 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 16:24:39.156000,2021-07-01 16:34:39.156000,600,train
9,2021-07-01,redisservice,redisservice1,"2021-07-01 21:28:23,218 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 21:18:22.477451 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 21:18:23.218000,2021-07-01 21:28:23.218000,600,train
10,2021-07-01,redisservice,redisservice2,"2021-07-01 15:57:15,956 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:47:15.262637 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:47:15.956000,2021-07-01 15:57:15.956000,600,train
11,2021-07-01,redisservice,redisservice2,"2021-07-01 18:55:01,061 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 18:45:00.236885 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 18:45:01.061000,2021-07-01 18:55:01.061000,600,train
