index,datetime,service,instance,message,level,anomaly_type,st_time,ed_time,duration,data_type,old_index
0,2021-07-01,webservice,webservice2,"2021-07-01 11:16:52,953 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:06:52.249428 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 11:06:52.953000,2021-07-01 11:16:52.953000,600,train,5
1,2021-07-01,dbservice,dbservice1,"2021-07-01 11:54:27,616 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:44:26.882752 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 11:44:27.616000,2021-07-01 11:54:27.616000,600,train,0
2,2021-07-01,dbservice,dbservice1,"2021-07-01 12:25:08,804 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [normal memory freed label] lasts ten minutes",WARNING,[normal memory freed label],2021-07-01 12:25:08.804000,2021-07-01 12:35:08.804000,600,train,1
3,2021-07-01,dbservice,dbservice2,"2021-07-01 12:54:56,480 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 12:44:55.798971 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 12:44:56.480000,2021-07-01 12:54:56.480000,600,train,3
4,2021-07-01,redisservice,redisservice1,"2021-07-01 13:18:43,143 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 13:08:42.446638 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 13:08:43.143000,2021-07-01 13:18:43.143000,600,train,7
5,2021-07-01,dbservice,dbservice2,"2021-07-01 15:10:23,517 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:00:22.680775 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:00:23.517000,2021-07-01 15:10:23.517000,600,train,4
6,2021-07-01,mobservice,mobservice1,"2021-07-01 15:03:43,991 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | db0ed47426370ed5 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:03:43.991000,2021-07-01 15:03:54.991000,11,train,14
7,2021-07-01,mobservice,mobservice2,"2021-07-01 15:08:25,556 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 6a88474b16d55ae | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:08:25.556000,2021-07-01 15:08:36.556000,11,train,113
8,2021-07-01,mobservice,mobservice1,"2021-07-01 15:11:37,103 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | fe98597588500994 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:11:37.103000,2021-07-01 15:11:48.103000,11,train,15
9,2021-07-01,mobservice,mobservice1,"2021-07-01 15:15:11,830 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 4c8314c7ce3aceab | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:15:11.830000,2021-07-01 15:15:22.830000,11,train,16
10,2021-07-01,mobservice,mobservice2,"2021-07-01 15:16:11,833 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 7fdf2654e8f96153 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:16:11.833000,2021-07-01 15:16:22.833000,11,train,114
11,2021-07-01,mobservice,mobservice2,"2021-07-01 15:21:05,900 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 5cb180a87fdce4ed | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:21:05.900000,2021-07-01 15:21:16.900000,11,train,115
12,2021-07-01,mobservice,mobservice2,"2021-07-01 15:21:36,455 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 391c44e9b3c8fb05 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:21:36.455000,2021-07-01 15:21:47.455000,11,train,116
13,2021-07-01,mobservice,mobservice1,"2021-07-01 15:22:26,966 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 9ada6665b7e69d1c | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:22:26.966000,2021-07-01 15:22:37.966000,11,train,17
14,2021-07-01,mobservice,mobservice2,"2021-07-01 15:24:01,962 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | d7a8af4e4bab3772 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:24:01.962000,2021-07-01 15:24:12.962000,11,train,117
15,2021-07-01,mobservice,mobservice2,"2021-07-01 15:25:58,528 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f8ebdf2d5b05a09f | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:25:58.528000,2021-07-01 15:26:09.528000,11,train,118
16,2021-07-01,mobservice,mobservice1,"2021-07-01 15:27:06,145 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 3bcb354ac6aa19a0 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:27:06.145000,2021-07-01 15:27:17.145000,11,train,18
17,2021-07-01,mobservice,mobservice2,"2021-07-01 15:30:02,148 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | ac0a66b6d3869cbf | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:30:02.148000,2021-07-01 15:30:13.148000,11,train,119
18,2021-07-01,mobservice,mobservice2,"2021-07-01 15:31:02,232 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | ba4954df31f1ac8c | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:31:02.232000,2021-07-01 15:31:13.232000,11,train,120
19,2021-07-01,mobservice,mobservice1,"2021-07-01 15:32:46,990 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 779a695b7427e940 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:32:46.990000,2021-07-01 15:32:57.990000,11,train,19
20,2021-07-01,mobservice,mobservice1,"2021-07-01 15:35:42,392 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 3f56a3a01494fe5b | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:35:42.392000,2021-07-01 15:35:53.392000,11,train,20
21,2021-07-01,mobservice,mobservice2,"2021-07-01 15:36:28,652 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f49396f63fa5a8c6 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:36:28.652000,2021-07-01 15:36:39.652000,11,train,121
22,2021-07-01,webservice,webservice2,"2021-07-01 15:48:50,914 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:38:50.211766 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:38:50.914000,2021-07-01 15:48:50.914000,600,train,6
23,2021-07-01,mobservice,mobservice2,"2021-07-01 15:41:17,307 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | ed004bfeb9ab2d7b | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:41:17.307000,2021-07-01 15:41:28.307000,11,train,122
24,2021-07-01,mobservice,mobservice1,"2021-07-01 15:42:44,586 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | ced924d93ad4ab1b | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:42:44.586000,2021-07-01 15:42:55.586000,11,train,21
25,2021-07-01,mobservice,mobservice1,"2021-07-01 15:46:01,313 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | f5b039929f6769eb | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:46:01.313000,2021-07-01 15:46:12.313000,11,train,22
26,2021-07-01,redisservice,redisservice2,"2021-07-01 15:57:15,956 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:47:15.262637 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:47:15.956000,2021-07-01 15:57:15.956000,600,train,10
27,2021-07-01,mobservice,mobservice1,"2021-07-01 15:48:21,803 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 19cbc9e5832ff0cf | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:48:21.803000,2021-07-01 15:48:32.803000,11,train,23
28,2021-07-01,mobservice,mobservice1,"2021-07-01 15:52:21,901 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 1c8854524f86e312 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:52:21.901000,2021-07-01 15:52:32.901000,11,train,24
29,2021-07-01,mobservice,mobservice1,"2021-07-01 15:54:08,437 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | d53c0c0d63664e6d | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 15:54:08.437000,2021-07-01 15:54:19.437000,11,train,25
30,2021-07-01,mobservice,mobservice1,"2021-07-01 16:00:12,625 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 84e21640ffcb84b8 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 16:00:12.625000,2021-07-01 16:00:23.625000,11,train,26
31,2021-07-01,mobservice,mobservice2,"2021-07-01 16:01:27,583 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | f521a7f0decd1a4d | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 16:01:27.583000,2021-07-01 16:01:38.583000,11,train,123
32,2021-07-01,mobservice,mobservice1,"2021-07-01 16:02:11,197 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 29d31c9722eb0790 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 16:02:11.197000,2021-07-01 16:02:22.197000,11,train,27
33,2021-07-01,mobservice,mobservice2,"2021-07-01 16:02:11,375 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | e5f8e0313174789c | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 16:02:11.375000,2021-07-01 16:02:22.375000,11,train,124
34,2021-07-01,mobservice,mobservice1,"2021-07-01 16:12:48,775 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | 1c68a85acbbabc35 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 16:12:48.775000,2021-07-01 16:12:59.775000,11,train,28
35,2021-07-01,mobservice,mobservice2,"2021-07-01 16:21:04,287 | WARNING | 0.0.0.4 | 172.17.0.2 | mobservice2 | 7ed774277cb662fb | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 16:21:04.287000,2021-07-01 16:21:15.287000,11,train,125
36,2021-07-01,redisservice,redisservice1,"2021-07-01 16:34:39,156 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 16:24:38.443625 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 16:24:39.156000,2021-07-01 16:34:39.156000,600,train,8
37,2021-07-01,mobservice,mobservice1,"2021-07-01 16:26:49,857 | WARNING | 0.0.0.1 | 172.17.0.5 | mobservice1 | b2bbfe895d523694 | wait for 11 seconds for follow-up operations to simulate the login failure of the QR code expired",WARNING,[login failure],2021-07-01 16:26:49.857000,2021-07-01 16:27:00.857000,11,train,29
