index,datetime,service,instance,message,level,anomaly_type,st_time,ed_time,duration,data_type,old_index
0,2021-07-01,webservice,webservice2,"2021-07-01 11:16:52,953 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:06:52.249428 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 11:06:52.953000,2021-07-01 11:16:52.953000,600,train,5
1,2021-07-01,dbservice,dbservice1,"2021-07-01 11:54:27,616 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 11:44:26.882752 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 11:44:27.616000,2021-07-01 11:54:27.616000,600,train,0
2,2021-07-01,dbservice,dbservice1,"2021-07-01 12:25:08,804 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [normal memory freed label] lasts ten minutes",WARNING,[normal memory freed label],2021-07-01 12:25:08.804000,2021-07-01 12:35:08.804000,600,train,1
3,2021-07-01,dbservice,dbservice2,"2021-07-01 12:54:56,480 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 12:44:55.798971 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 12:44:56.480000,2021-07-01 12:54:56.480000,600,train,3
4,2021-07-01,redisservice,redisservice1,"2021-07-01 13:18:43,143 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 13:08:42.446638 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 13:08:43.143000,2021-07-01 13:18:43.143000,600,train,7
5,2021-07-01,dbservice,dbservice2,"2021-07-01 15:10:23,517 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:00:22.680775 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:00:23.517000,2021-07-01 15:10:23.517000,600,train,4
22,2021-07-01,webservice,webservice2,"2021-07-01 15:48:50,914 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:38:50.211766 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:38:50.914000,2021-07-01 15:48:50.914000,600,train,6
26,2021-07-01,redisservice,redisservice2,"2021-07-01 15:57:15,956 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 15:47:15.262637 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 15:47:15.956000,2021-07-01 15:57:15.956000,600,train,10
36,2021-07-01,redisservice,redisservice1,"2021-07-01 16:34:39,156 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 16:24:38.443625 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 16:24:39.156000,2021-07-01 16:34:39.156000,600,train,8
106,2021-07-01,redisservice,redisservice2,"2021-07-01 18:55:01,061 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 18:45:00.236885 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 18:45:01.061000,2021-07-01 18:55:01.061000,600,train,11
139,2021-07-01,logservice,logservice2,"2021-07-01 20:45:20,692 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 20:35:19.880980 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 20:35:20.692000,2021-07-01 20:45:20.692000,600,train,230
155,2021-07-01,redisservice,redisservice1,"2021-07-01 21:28:23,218 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 21:18:22.477451 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 21:18:23.218000,2021-07-01 21:28:23.218000,600,train,9
156,2021-07-01,redisservice,redisservice2,"2021-07-01 21:30:11,157 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 21:20:10.284961 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 21:20:11.157000,2021-07-01 21:30:11.157000,600,train,12
180,2021-07-01,dbservice,dbservice1,"2021-07-01 22:33:05,033 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 22:23:04.230332 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 22:23:05.033000,2021-07-01 22:33:05.033000,600,train,2
183,2021-07-01,redisservice,redisservice2,"2021-07-01 22:40:02,055 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-01 22:30:01.256928 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-01 22:30:02.055000,2021-07-01 22:40:02.055000,600,train,13
257,2021-07-02,dbservice,dbservice1,"2021-07-02 01:21:29,979 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 01:11:29.298886 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 01:11:29.979000,2021-07-02 01:21:29.979000,600,train,231
281,2021-07-02,dbservice,dbservice2,"2021-07-02 02:30:02,275 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 02:20:01.508943 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 02:20:02.275000,2021-07-02 02:30:02.275000,600,train,235
360,2021-07-02,logservice,logservice2,"2021-07-02 05:33:24,020 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 05:23:23.248937 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 05:23:24.020000,2021-07-02 05:33:24.020000,600,train,786
387,2021-07-02,logservice,logservice1,"2021-07-02 06:35:51,758 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 06:25:50.827593 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 06:25:51.758000,2021-07-02 06:35:51.758000,600,train,784
427,2021-07-02,webservice,webservice2,"2021-07-02 07:51:52,504 | WARNING | 0.0.0.3 | 172.17.0.4 | webservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 07:41:51.591603 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 07:41:52.504000,2021-07-02 07:51:52.504000,600,train,234
473,2021-07-02,logservice,logservice2,"2021-07-02 10:29:43,448 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 10:19:42.476881 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 10:19:43.448000,2021-07-02 10:29:43.448000,600,train,787
476,2021-07-02,webservice,webservice1,"2021-07-02 10:34:32,497 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 10:24:31.614539 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 10:24:32.497000,2021-07-02 10:34:32.497000,600,train,238
534,2021-07-02,dbservice,dbservice1,"2021-07-02 13:13:23,561 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 13:03:22.764097 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 13:03:23.561000,2021-07-02 13:13:23.561000,600,train,232
555,2021-07-02,logservice,logservice1,"2021-07-02 14:00:59,366 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 13:50:58.555633 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 13:50:59.366000,2021-07-02 14:00:59.366000,600,train,785
621,2021-07-02,dbservice,dbservice1,"2021-07-02 16:30:41,481 | WARNING | 0.0.0.4 | 172.17.0.3 | dbservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 16:20:40.866839 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 16:20:41.481000,2021-07-02 16:30:41.481000,600,train,233
663,2021-07-02,redisservice,redisservice2,"2021-07-02 18:21:54,644 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 18:11:53.808875 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 18:11:54.644000,2021-07-02 18:21:54.644000,600,train,782
700,2021-07-02,webservice,webservice1,"2021-07-02 20:10:00,659 | WARNING | 0.0.0.1 | 172.17.0.3 | webservice1 | trigger the file moving program, start with 2021-07-02 20:00:00.510589, last for 600 seconds",WARNING,[file moving program],2021-07-02 20:00:00.659000,2021-07-02 20:10:00.659000,600,train,239
704,2021-07-02,dbservice,dbservice2,"2021-07-02 20:25:48,600 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 20:15:47.828889 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 20:15:48.600000,2021-07-02 20:25:48.600000,600,train,236
749,2021-07-02,redisservice,redisservice2,"2021-07-02 22:23:20,815 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 22:13:20.052896 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 22:13:20.815000,2021-07-02 22:23:20.815000,600,train,783
775,2021-07-02,dbservice,dbservice2,"2021-07-02 23:52:33,783 | WARNING | 0.0.0.2 | 172.17.0.2 | dbservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-02 23:42:32.980941 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-02 23:42:33.783000,2021-07-02 23:52:33.783000,600,train,237
801,2021-07-03,redisservice,redisservice1,"2021-07-03 00:36:49,418 | WARNING | 0.0.0.1 | 172.17.0.4 | redisservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 00:26:48.518542 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 00:26:49.418000,2021-07-03 00:36:49.418000,600,train,1379
895,2021-07-03,logservice,logservice1,"2021-07-03 04:19:49,602 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 04:09:48.719591 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 04:09:49.602000,2021-07-03 04:19:49.602000,600,train,1381
988,2021-07-03,logservice,logservice1,"2021-07-03 07:48:56,860 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 07:38:55.955599 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 07:38:56.860000,2021-07-03 07:48:56.860000,600,train,1382
1034,2021-07-03,logservice,logservice2,"2021-07-03 09:26:05,417 | WARNING | 0.0.0.2 | 172.17.0.3 | logservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 09:16:04.529338 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 09:16:05.417000,2021-07-03 09:26:05.417000,600,train,1384
1089,2021-07-03,logservice,logservice1,"2021-07-03 11:23:55,049 | WARNING | 0.0.0.3 | 172.17.0.3 | logservice1 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 11:13:54.159598 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 11:13:55.049000,2021-07-03 11:23:55.049000,600,train,1383
1149,2021-07-03,redisservice,redisservice2,"2021-07-03 13:59:52,067 | WARNING | 0.0.0.2 | 172.17.0.4 | redisservice2 | [memory_anomalies] trigger a high memory program, start at 2021-07-03 13:49:51.220908 and lasts 600 seconds and use 1g memory",WARNING,[memory_anomalies],2021-07-03 13:49:52.067000,2021-07-03 13:59:52.067000,600,train,1377
