task,variant,classifier,macro_f1_mean,macro_f1_std,f1_access_perm_mean,f1_file_moving_mean,f1_memory_anomalies_mean,f1_normal_mem_freed_mean,f1_login_failure_mean,f1_webservice1_mean,f1_webservice2_mean,f1_dbservice1_mean,f1_dbservice2_mean,f1_logservice1_mean,f1_logservice2_mean,f1_redisservice1_mean,f1_redisservice2_mean,minority_avg
FTI,full_graph,GaussianNB,0.5856228213407675,0.07056036121520833,0.6933333333333334,0.38073886639676113,0.8576720534176129,0.0,0.9963698535561297,,,,,,,,,
FTI,full_graph,DecisionTree,0.7276761705801563,0.0576419449814461,0.8457142857142858,0.8539682539682539,0.9399254905101874,0.0,0.9987728227080546,,,,,,,,,
FTI,full_graph,KNN,0.6438047187726192,0.052358911482724826,0.7247619047619047,0.5373348873348873,0.9572497483298648,0.0,0.9996770534364398,,,,,,,,,
FTI,full_graph,RandomForest,0.7451049225770336,0.03633586512291726,0.7666666666666666,0.9818181818181818,0.9771367840295945,0.0,0.9999029803707249,,,,,,,,,
FTI,full_graph,LogReg,0.7084334088594636,0.05070665402795923,0.8047619047619048,0.7999299397920087,0.9385739981286342,0.0,0.9989012016147705,,,,,,,,,
FTI,full_graph,LightGBM,0.7701209179004579,0.025626848762163354,0.9047619047619048,0.9658181818181818,0.9801215122401874,0.0,0.9999029906820155,,,,,,,,,
FTI,root_cause_only,GaussianNB,0.45167222356477926,0.02682991266417887,0.3164502164502164,0.38140003089349894,0.5737963407707682,0.0,0.9867145297094128,,,,,,,,,
FTI,root_cause_only,DecisionTree,0.5169819048289066,0.05208157355170066,0.4774603174603175,0.21871345029239767,0.8921032606442527,0.0,0.996632495747565,,,,,,,,,
FTI,root_cause_only,KNN,0.4985970639784851,0.055843328406045556,0.31111111111111106,0.2595238095238095,0.9234495444640327,0.0,0.9989008547934723,,,,,,,,,
FTI,root_cause_only,RandomForest,0.45218497217157505,0.049276139913281475,0.13,0.19463203463203463,0.9386237828281893,0.0,0.9976690433976516,,,,,,,,,
FTI,root_cause_only,LogReg,0.4878395915112674,0.048709005923267434,0.38,0.23580830291853133,0.8152786012087571,0.014545454545454545,0.993565598883594,,,,,,,,,
FTI,root_cause_only,LightGBM,0.49140906770490567,0.08219042882424363,0.29444444444444445,0.24487179487179483,0.920222397892385,0.0,0.9975067013159038,,,,,,,,,
RCL,full_graph,GaussianNB,,,,,,,,0.2522638322415853,0.2771858678955453,0.20284798534798534,0.16967304163044528,0.17566118342934506,0.11984995396760104,0.06105263157894737,0.1688117745256889,0.17841828382714295
RCL,full_graph,DecisionTree,,,,,,,,0.1742016806722689,0.2487098087098087,0.19963853254175834,0.19212642350809248,0.06506832298136646,0.046866096866096864,0.13465959328028293,0.08676190476190476,0.14350404541519743
RCL,full_graph,KNN,,,,,,,,0.15344280240831965,0.15257142857142858,0.1396454535873594,0.24148209082262095,0.09249105605927196,0.14177777777777778,0.025,0.059893048128342244,0.1257879571693901
RCL,full_graph,RandomForest,,,,,,,,0.2499815973500184,0.27519553055571205,0.18212128689273838,0.18540286285148996,0.10426151688423779,0.08494983277591973,0.0,0.0,0.13523907841376456
RCL,full_graph,LogReg,,,,,,,,0.20997416020671836,0.13986492157838742,0.17415406299127228,0.18175318140467128,0.08196078431372548,0.09076721048078111,0.05971804062126642,0.06349206349206349,0.12521055313611074
RCL,full_graph,LightGBM,,,,,,,,0.2778940568475452,0.18121486356780475,0.23688569079873423,0.2369254658385093,0.10465438700732818,0.0574915549743925,0.045,0.05923444976076555,0.14991255859938493
RCL,root_cause_only,GaussianNB,,,,,,,,0.9878787878787879,0.9831285831285831,0.9870967741935484,0.9888888888888889,1.0,0.9925925925925926,0.9904761904761905,1.0,0.991257727144824
RCL,root_cause_only,DecisionTree,,,,,,,,0.9776987924356344,0.9878787878787879,0.6571001339086446,0.9894663894663894,0.9623931623931623,0.9196167471819645,0.9817805383022774,0.9913043478260869,0.9334048624241184
RCL,root_cause_only,KNN,,,,,,,,0.9764127764127764,0.9681451612903226,0.77212185399291,0.9945945945945945,1.0,1.0,0.9904761904761905,1.0,0.9627188220958492
RCL,root_cause_only,RandomForest,,,,,,,,0.9939393939393939,0.9245516388373531,0.7385734668961359,0.9945945945945945,1.0,1.0,0.9904761904761905,1.0,0.9552669105929585
RCL,root_cause_only,LogReg,,,,,,,,0.9885339885339886,0.9824733824733825,0.6764290783873401,0.9945945945945945,1.0,1.0,0.9904761904761905,1.0,0.954063404308187
RCL,root_cause_only,LightGBM,,,,,,,,0.9939393939393939,0.9885339885339886,0.6811952925653191,0.9945945945945945,1.0,1.0,0.9904761904761905,1.0,0.9560924325136859
