,precision,recall,f1-score,support
dbservice1,0.0037025609379821045,1.0,0.007377805102981863,12.0
dbservice2,0.0,0.0,0.0,27.0
logservice1,0.0,0.0,0.0,10.0
logservice2,0.0,0.0,0.0,11.0
mobservice1,0.0,0.0,0.0,1593.0
mobservice2,0.0,0.0,0.0,1529.0
redisservice1,0.0,0.0,0.0,14.0
redisservice2,0.0,0.0,0.0,10.0
webservice1,0.0,0.0,0.0,17.0
webservice2,0.0,0.0,0.0,18.0
accuracy,0.0037025609379821045,0.0037025609379821045,0.0037025609379821045,0.0037025609379821045
macro avg,0.0003702560937982104,0.1,0.0007377805102981862,3241.0
weighted avg,1.370895749947092e-05,0.0037025609379821045,2.731677298234568e-05,3241.0
