,precision,recall,f1-score,support
dbservice1,0.2222222222222222,0.125,0.16,16.0
dbservice2,0.13333333333333333,0.10526315789473684,0.11764705882352941,19.0
logservice1,0.0,0.0,0.0,13.0
logservice2,0.09523809523809523,0.16666666666666666,0.12121212121212123,12.0
mobservice1,0.8597014925373134,0.9213051823416507,0.8894379246448425,1563.0
mobservice2,0.9261363636363636,0.8358974358974359,0.8787061994609164,1560.0
redisservice1,0.041666666666666664,0.08333333333333333,0.05555555555555555,12.0
redisservice2,0.06451612903225806,0.18181818181818182,0.09523809523809523,11.0
webservice1,0.11764705882352941,0.1111111111111111,0.11428571428571428,18.0
webservice2,0.13636363636363635,0.17647058823529413,0.15384615384615383,17.0
accuracy,0.8509719222462203,0.8509719222462203,0.8509719222462203,0.8509719222462203
macro avg,0.25968249978534186,0.270686565729841,0.25859288230669286,3241.0
weighted avg,0.8643515619983505,0.8509719222462203,0.8557882752662525,3241.0
