,precision,recall,f1-score,support
dbservice1,0.09090909090909091,0.020833333333333332,0.03389830508474576,48.0
dbservice2,0.10810810810810811,0.125,0.11594202898550725,64.0
logservice1,0.09302325581395349,0.08888888888888889,0.09090909090909091,45.0
logservice2,0.07446808510638298,0.2,0.10852713178294573,35.0
mobservice1,0.6917808219178082,0.7426470588235294,0.7163120567375887,272.0
mobservice2,0.7385159010600707,0.7517985611510791,0.7450980392156863,278.0
redisservice1,0.05,0.03333333333333333,0.04,30.0
redisservice2,0.0,0.0,0.0,43.0
webservice1,0.25,0.3968253968253968,0.3067484662576687,63.0
webservice2,0.25,0.03278688524590164,0.05797101449275363,61.0
accuracy,0.48881789137380194,0.48881789137380194,0.48881789137380194,0.48881789137380194
macro avg,0.23468052629154146,0.23921134576014627,0.2215406133465987,939.0
weighted avg,0.47289327883839194,0.48881789137380194,0.4717489742229271,939.0
