,precision,recall,f1-score,support
dbservice1,0.14285714285714285,0.125,0.13333333333333333,16.0
dbservice2,0.16666666666666666,0.15789473684210525,0.16216216216216214,19.0
logservice1,0.0625,0.0625,0.0625,16.0
logservice2,0.14285714285714285,0.0625,0.08695652173913043,16.0
mobservice1,0.8970684039087948,0.8861003861003861,0.8915506636451925,1554.0
mobservice2,0.8915510718789408,0.9000636537237429,0.8957871396895787,1571.0
redisservice1,0.13636363636363635,0.2727272727272727,0.1818181818181818,11.0
redisservice2,0.2222222222222222,0.2857142857142857,0.25,7.0
webservice1,0.14285714285714285,0.15384615384615385,0.14814814814814817,13.0
webservice2,0.15,0.16666666666666666,0.15789473684210525,18.0
accuracy,0.8663992594878124,0.8663992594878124,0.8663992594878124,0.8663992594878124
macro avg,0.29549434296116894,0.3073013155620613,0.29701508873778326,3241.0
weighted avg,0.8673316344482804,0.8663992594878124,0.8666692618661777,3241.0
