,precision,recall,f1-score,support
dbservice1,0.2857142857142857,0.125,0.17391304347826086,16.0
dbservice2,0.125,0.10526315789473684,0.11428571428571428,19.0
logservice1,0.0,0.0,0.0,13.0
logservice2,0.0,0.0,0.0,12.0
mobservice1,0.8681930693069307,0.8976327575175944,0.8826675055048757,1563.0
mobservice2,0.8999345977763243,0.882051282051282,0.8909032049206862,1560.0
redisservice1,0.16666666666666666,0.08333333333333333,0.1111111111111111,12.0
redisservice2,0.0,0.0,0.0,11.0
webservice1,0.16,0.2222222222222222,0.18604651162790697,18.0
webservice2,0.16666666666666666,0.29411764705882354,0.21276595744680848,17.0
accuracy,0.8617710583153347,0.8617710583153347,0.8617710583153347,0.8617710583153347
macro avg,0.26721752861308745,0.2609620400077992,0.25716930483753636,3241.0
weighted avg,0.8563849126080102,0.8617710583153347,0.8585842455620807,3241.0
