,precision,recall,f1-score,support
dbservice1,0.1875,0.2,0.19354838709677422,15.0
dbservice2,0.0967741935483871,0.15789473684210525,0.12000000000000001,19.0
logservice1,0.0,0.0,0.0,14.0
logservice2,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
mobservice1,0.9117250673854448,0.8656429942418427,0.888086642599278,1563.0
mobservice2,0.8759259259259259,0.9101988454137268,0.8927335640138407,1559.0
redisservice1,0.1,0.09090909090909091,0.09523809523809525,11.0
redisservice2,0.2222222222222222,0.16666666666666666,0.1904761904761905,12.0
webservice1,0.375,0.35294117647058826,0.3636363636363636,17.0
webservice2,0.16666666666666666,0.3333333333333333,0.2222222222222222,18.0
accuracy,0.8623881518049985,0.8623881518049985,0.8623881518049985,0.8623881518049985
macro avg,0.31580362979708687,0.3231432997723508,0.31477596471009467,3241.0
weighted avg,0.8674102326673692,0.8623881518049985,0.8642126079498577,3241.0
