,precision,recall,f1-score,support
dbservice1,0.1,0.06666666666666667,0.08,15.0
dbservice2,0.2413793103448276,0.3684210526315789,0.2916666666666667,19.0
logservice1,0.05,0.07142857142857142,0.058823529411764705,14.0
logservice2,0.17647058823529413,0.23076923076923078,0.20000000000000004,13.0
mobservice1,0.9545115585384042,0.818937939859245,0.8815426997245179,1563.0
mobservice2,0.8452787258248009,0.9531751122514432,0.8959903527283689,1559.0
redisservice1,0.07692307692307693,0.09090909090909091,0.08333333333333334,11.0
redisservice2,0.3333333333333333,0.3333333333333333,0.3333333333333333,12.0
webservice1,0.20833333333333334,0.29411764705882354,0.24390243902439027,17.0
webservice2,0.29411764705882354,0.2777777777777778,0.28571428571428575,18.0
accuracy,0.8617710583153347,0.8617710583153347,0.8617710583153347,0.8617710583153347
macro avg,0.3280347573591894,0.3505536422685761,0.3354306639936661,3241.0
weighted avg,0.8739442648132922,0.8617710583153347,0.8636443261105581,3241.0
