,precision,recall,f1-score,support
dbservice1,0.5,0.1875,0.2727272727272727,16.0
dbservice2,0.23684210526315788,0.47368421052631576,0.3157894736842105,19.0
logservice1,0.375,0.23076923076923078,0.2857142857142857,13.0
logservice2,0.0,0.0,0.0,13.0
mobservice1,0.9376344086021505,0.8363171355498721,0.8840824602906387,1564.0
mobservice2,0.8517673888255416,0.9583066067992303,0.901901599758527,1559.0
redisservice1,0.0,0.0,0.0,11.0
redisservice2,0.0,0.0,0.0,11.0
webservice1,0.38461538461538464,0.29411764705882354,0.33333333333333337,17.0
webservice2,0.36363636363636365,0.2222222222222222,0.27586206896551724,18.0
accuracy,0.8719531008947856,0.8719531008947856,0.8719531008947856,0.8719531008947856
macro avg,0.36494956509425985,0.32029170529256945,0.3269410494473785,3241.0
weighted avg,0.8715904012084846,0.8719531008947856,0.868089993182373,3241.0
