,precision,recall,f1-score,support
dbservice1,0.10619469026548672,0.17391304347826086,0.13186813186813187,69.0
dbservice2,0.1206896551724138,0.08045977011494253,0.09655172413793103,87.0
logservice1,0.06481481481481481,0.12727272727272726,0.08588957055214724,55.0
logservice2,0.03571428571428571,0.0196078431372549,0.02531645569620253,51.0
mobservice1,0.9156509019990249,0.8502867491699366,0.8817591360826356,6626.0
mobservice2,0.8693026599568655,0.9109537441615188,0.8896409652736904,6637.0
redisservice1,0.07246376811594203,0.10638297872340426,0.08620689655172414,47.0
redisservice2,0.058394160583941604,0.16666666666666666,0.08648648648648649,48.0
webservice1,0.125,0.01282051282051282,0.023255813953488372,78.0
webservice2,0.04827586206896552,0.09210526315789473,0.06334841628959276,76.0
accuracy,0.8514592710904603,0.8514592710904603,0.8514592710904603,0.8514592710904603
macro avg,0.24165007986917408,0.2540469298703119,0.237032359689203,13774.0
weighted avg,0.8624586895687917,0.8514592710904603,0.8556286189589419,13774.0
