,precision,recall,f1-score,support
dbservice1,0.08333333333333333,0.028985507246376812,0.043010752688172046,69.0
dbservice2,0.06521739130434782,0.034482758620689655,0.045112781954887216,87.0
logservice1,0.06666666666666667,0.10909090909090909,0.08275862068965517,55.0
logservice2,0.04,0.0196078431372549,0.02631578947368421,51.0
mobservice1,0.8444745762711865,0.9399335949290674,0.8896507392329119,6626.0
mobservice2,0.9347307430129516,0.8264276028326051,0.877249100359856,6637.0
redisservice1,0.08235294117647059,0.14893617021276595,0.10606060606060606,47.0
redisservice2,0.0896551724137931,0.2708333333333333,0.13471502590673576,48.0
webservice1,0.19230769230769232,0.0641025641025641,0.09615384615384616,78.0
webservice2,0.08888888888888889,0.10526315789473684,0.0963855421686747,76.0
accuracy,0.8536372876433861,0.8536372876433861,0.8536372876433861,0.8536372876433861
macro avg,0.24876274053753308,0.25476634414003035,0.23974128046890292,13774.0
weighted avg,0.860052029586663,0.8536372876433861,0.8535059482754086,13774.0
