,precision,recall,f1-score,support
dbservice1,0.14285714285714285,0.18840579710144928,0.16249999999999998,69.0
dbservice2,0.0,0.0,0.0,87.0
logservice1,0.12121212121212122,0.07272727272727272,0.0909090909090909,55.0
logservice2,0.06707317073170732,0.21568627450980393,0.10232558139534885,51.0
mobservice1,0.9121071941298453,0.86296408089345,0.8868553702985653,6626.0
mobservice2,0.8550233149639678,0.91170709657978,0.8824558844975936,6637.0
redisservice1,0.045454545454545456,0.0425531914893617,0.04395604395604396,47.0
redisservice2,0.057692307692307696,0.0625,0.060000000000000005,48.0
webservice1,0.10714285714285714,0.038461538461538464,0.05660377358490567,78.0
webservice2,0.25,0.05263157894736842,0.08695652173913043,76.0
accuracy,0.85733991578336,0.85733991578336,0.85733991578336,0.85733991578336
macro avg,0.25585626541844947,0.24476368307100244,0.23725622663806786,13774.0
weighted avg,0.8545534549305993,0.85733991578336,0.8545494567821779,13774.0
