,precision,recall,f1-score,support
dbservice1,0.005009438071729345,1.0,0.009968937369067399,69.0
dbservice2,0.0,0.0,0.0,87.0
logservice1,0.0,0.0,0.0,55.0
logservice2,0.0,0.0,0.0,51.0
mobservice1,0.0,0.0,0.0,6626.0
mobservice2,0.0,0.0,0.0,6637.0
redisservice1,0.0,0.0,0.0,47.0
redisservice2,0.0,0.0,0.0,48.0
webservice1,0.0,0.0,0.0,78.0
webservice2,0.0,0.0,0.0,76.0
accuracy,0.005009438071729345,0.005009438071729345,0.005009438071729345,0.005009438071729345
macro avg,0.0005009438071729345,0.1,0.0009968937369067398,13774.0
weighted avg,2.509446979449142e-05,0.005009438071729345,4.9938774391291606e-05,13774.0
