,precision,recall,f1-score,support
dbservice1,0.14285714285714285,0.07246376811594203,0.09615384615384616,69.0
dbservice2,0.010526315789473684,0.011494252873563218,0.01098901098901099,87.0
logservice1,0.06363636363636363,0.12727272727272726,0.08484848484848483,55.0
logservice2,0.0,0.0,0.0,51.0
mobservice1,0.8982008303859758,0.8815273166314519,0.8897859699900983,6626.0
mobservice2,0.893969617922357,0.8778062377580232,0.8858142010034971,6637.0
redisservice1,0.08333333333333333,0.0851063829787234,0.08421052631578947,47.0
redisservice2,0.06954436450839328,0.6041666666666666,0.1247311827956989,48.0
webservice1,0.1,0.02564102564102564,0.04081632653061225,78.0
webservice2,0.10714285714285714,0.039473684210526314,0.057692307692307696,76.0
accuracy,0.8507332655728184,0.8507332655728184,0.8507332655728184,0.8507332655728184
macro avg,0.23692108255758967,0.27249520621486495,0.22750418563193456,13774.0
weighted avg,0.8655601598609636,0.8507332655728184,0.8570234714379966,13774.0
