,precision,recall,f1-score,support
dbservice1,0.3333333333333333,0.3125,0.3225806451612903,16.0
dbservice2,0.15151515151515152,0.2631578947368421,0.19230769230769232,19.0
logservice1,0.0,0.0,0.0,13.0
logservice2,0.07142857142857142,0.07692307692307693,0.07407407407407408,13.0
mobservice1,0.9115691489361702,0.8771593090211133,0.8940332572546462,1563.0
mobservice2,0.8873762376237624,0.9198203976908275,0.9033070866141732,1559.0
redisservice1,0.0625,0.09090909090909091,0.07407407407407407,11.0
redisservice2,0.0,0.0,0.0,12.0
webservice1,0.4444444444444444,0.23529411764705882,0.30769230769230765,17.0
webservice2,0.25,0.16666666666666666,0.2,18.0
accuracy,0.8713360074051218,0.8713360074051218,0.8713360074051218,0.8713360074051218
macro avg,0.31121668872814334,0.2942430553594676,0.2968069137178258,3241.0
weighted avg,0.8732137866210824,0.8713360074051218,0.8716610344355081,3241.0
