,precision,recall,f1-score,support
dbservice1,0.07142857142857142,0.13333333333333333,0.09302325581395349,15.0
dbservice2,0.15789473684210525,0.3,0.20689655172413793,20.0
logservice1,0.0,0.0,0.0,14.0
logservice2,0.0,0.0,0.0,13.0
mobservice1,0.8800251256281407,0.8963531669865643,0.8881141045958795,1563.0
mobservice2,0.8965291421087099,0.8781270044900578,0.8872326636422555,1559.0
redisservice1,0.3333333333333333,0.18181818181818182,0.23529411764705885,11.0
redisservice2,0.0,0.0,0.0,12.0
webservice1,0.5,0.29411764705882354,0.37037037037037035,17.0
webservice2,0.4666666666666667,0.4117647058823529,0.43749999999999994,17.0
accuracy,0.8614625115705029,0.8614625115705029,0.8614625115705029,0.8614625115705029
macro avg,0.3305877576007527,0.3095514039569313,0.3118431063793655,3241.0
weighted avg,0.8631587556965544,0.8614625115705029,0.8618245540153475,3241.0
