,precision,recall,f1-score,support
dbservice1,0.2727272727272727,0.1875,0.2222222222222222,16.0
dbservice2,0.11627906976744186,0.5263157894736842,0.1904761904761905,19.0
logservice1,0.0,0.0,0.0,13.0
logservice2,0.0,0.0,0.0,13.0
mobservice1,0.8482642777155656,0.9692898272552783,0.904747685876381,1563.0
mobservice2,0.9682299546142209,0.8210391276459269,0.8885803540437348,1559.0
redisservice1,0.07142857142857142,0.09090909090909091,0.08,11.0
redisservice2,0.0,0.0,0.0,12.0
webservice1,0.4,0.11764705882352941,0.1818181818181818,17.0
webservice2,0.09090909090909091,0.05555555555555555,0.06896551724137931,18.0
accuracy,0.8676334464671398,0.8676334464671398,0.8676334464671398,0.8676334464671398
macro avg,0.27678382371621635,0.2768256449663065,0.25368101516780894,3241.0
weighted avg,0.8796984208344014,0.8676334464671398,0.8675730628061782,3241.0
