,precision,recall,f1-score,support
dbservice1,0.07142857142857142,0.028985507246376812,0.041237113402061855,69.0
dbservice2,0.0,0.0,0.0,87.0
logservice1,0.0,0.0,0.0,55.0
logservice2,0.0,0.0,0.0,51.0
mobservice1,0.5462591850367402,0.9873226682764865,0.7033652295452102,6626.0
mobservice2,0.9524375743162902,0.24137411481090854,0.3851424450054093,6637.0
redisservice1,0.044444444444444446,0.0425531914893617,0.043478260869565216,47.0
redisservice2,0.0,0.0,0.0,48.0
webservice1,0.0,0.0,0.0,78.0
webservice2,0.11428571428571428,0.05263157894736842,0.07207207207207207,76.0
accuracy,0.5918396979817047,0.5918396979817047,0.5918396979817047,0.5918396979817047
macro avg,0.17288554895117608,0.1352867060770502,0.12452951208943186,13774.0
weighted avg,0.7228506400024561,0.5918396979817047,0.5246881613932448,13774.0
