,precision,recall,f1-score,support
dbservice1,0.14285714285714285,0.06666666666666667,0.09090909090909091,15.0
dbservice2,0.18333333333333332,0.5789473684210527,0.27848101265822783,19.0
logservice1,0.2,0.14285714285714285,0.16666666666666666,14.0
logservice2,0.2,0.23076923076923078,0.21428571428571427,13.0
mobservice1,0.9007046764894299,0.8995521433141395,0.9001280409731114,1563.0
mobservice2,0.8932907348242811,0.8967286722257858,0.8950064020486556,1559.0
redisservice1,0.5,0.09090909090909091,0.15384615384615385,11.0
redisservice2,0.0,0.0,0.0,12.0
webservice1,1.0,0.17647058823529413,0.3,17.0
webservice2,0.16666666666666666,0.16666666666666666,0.16666666666666666,18.0
accuracy,0.8725701943844493,0.8725701943844493,0.8725701943844493,0.8725701943844493
macro avg,0.4186852554170854,0.32495675700650695,0.31659897480542865,3241.0
weighted avg,0.8753371969824819,0.8725701943844493,0.8712685096421862,3241.0
