,precision,recall,f1-score,support
dbservice1,0.004672897196261682,0.014492753623188406,0.007067137809187279,69.0
dbservice2,0.10833333333333334,0.2988505747126437,0.15902140672782875,87.0
logservice1,0.10144927536231885,0.12727272727272726,0.11290322580645161,55.0
logservice2,0.0,0.0,0.0,51.0
mobservice1,0.4899857537920054,0.8824328403259886,0.6300986044506708,6626.0
mobservice2,0.45476381104883906,0.08558083471447943,0.1440527517118945,6637.0
redisservice1,0.0975609756097561,0.0851063829787234,0.09090909090909091,47.0
redisservice2,0.0,0.0,0.0,48.0
webservice1,0.0,0.0,0.0,78.0
webservice2,0.0,0.0,0.0,76.0
accuracy,0.46849136053434004,0.46849136053434004,0.46849136053434004,0.46849136053434004
macro avg,0.12567660463425145,0.14937361136277508,0.11440522174151238,13774.0
weighted avg,0.4562818008176347,0.46849136053434004,0.37432237300626003,13774.0
