,precision,recall,f1-score,support
dbservice1,0.0,0.0,0.0,69.0
dbservice2,0.16666666666666666,0.011494252873563218,0.021505376344086023,87.0
logservice1,0.0,0.0,0.0,55.0
logservice2,0.0,0.0,0.0,51.0
mobservice1,0.4923530781771602,0.9571385451252641,0.6502281232378121,6626.0
mobservice2,0.49731663685152055,0.0418863944553262,0.07726514730405781,6637.0
redisservice1,0.25,0.02127659574468085,0.0392156862745098,47.0
redisservice2,0.21428571428571427,0.0625,0.0967741935483871,48.0
webservice1,0.15384615384615385,0.358974358974359,0.2153846153846154,78.0
webservice2,0.09649122807017543,0.14473684210526316,0.11578947368421053,76.0
accuracy,0.48381007695658484,0.48381007695658484,0.48381007695658484,0.48381007695658484
macro avg,0.1870959477897391,0.15980069892784568,0.12161626157776788,13774.0
weighted avg,0.48053514319765156,0.48381007695658484,0.3524887174036543,13774.0
