,precision,recall,f1-score,support
dbservice1,0.0,0.0,0.0,69.0
dbservice2,0.0,0.0,0.0,87.0
logservice1,0.0,0.0,0.0,55.0
logservice2,0.0,0.0,0.0,51.0
mobservice1,0.49171378436342367,0.38062179293691517,0.4290940025521055,6626.0
mobservice2,0.4672064777327935,0.6085580834714479,0.52859573354273,6637.0
redisservice1,0.0,0.0,0.0,47.0
redisservice2,0.0,0.0,0.0,48.0
webservice1,0.0,0.0,0.0,78.0
webservice2,0.0,0.0,0.0,76.0
accuracy,0.476332220124873,0.476332220124873,0.476332220124873,0.476332220124873
macro avg,0.09589202620962171,0.0989179876408363,0.09576897360948355,13774.0
weighted avg,0.4616629104039927,0.476332220124873,0.46111999015778643,13774.0
