,precision,recall,f1-score,support
dbservice1,0.000967741935483871,0.043478260869565216,0.0018933417481855476,69.0
dbservice2,0.0,0.0,0.0,87.0
logservice1,0.0,0.0,0.0,55.0
logservice2,0.0,0.0,0.0,51.0
mobservice1,0.9801920768307323,0.24645336552973135,0.39387361312108055,6626.0
mobservice2,0.7336827060505002,0.9281301792978756,0.819530366526974,6637.0
redisservice1,0.0392156862745098,0.2553191489361702,0.0679886685552408,47.0
redisservice2,0.0,0.0,0.0,48.0
webservice1,0.0,0.0,0.0,78.0
webservice2,0.0,0.0,0.0,76.0
accuracy,0.5668651081748222,0.5668651081748222,0.5668651081748222,0.5668651081748222
macro avg,0.17540582110912262,0.14733809546333423,0.1283285989951481,13774.0
weighted avg,0.825186201000875,0.5668651081748222,0.5846054676334055,13774.0
