,precision,recall,f1-score,support
dbservice1,0.0,0.0,0.0,16.0
dbservice2,0.1282051282051282,0.5263157894736842,0.20618556701030924,19.0
logservice1,0.0,0.0,0.0,13.0
logservice2,0.0,0.0,0.0,13.0
mobservice1,0.8638247483718177,0.9328644501278772,0.8970181371042115,1564.0
mobservice2,0.9275862068965517,0.8627325208466966,0.8939847125290793,1559.0
redisservice1,0.0,0.0,0.0,11.0
redisservice2,0.08333333333333333,0.09090909090909091,0.08695652173913043,11.0
webservice1,0.0,0.0,0.0,17.0
webservice2,0.25,0.16666666666666666,0.2,18.0
accuracy,0.8694847269361308,0.8694847269361308,0.8694847269361308,0.8694847269361308
macro avg,0.2252949416806831,0.2579488518024015,0.22841449383827306,3241.0
weighted avg,0.8654678701350851,0.8694847269361308,0.8655145266202245,3241.0
