,precision,recall,f1-score,support
dbservice1,0.16666666666666666,0.06666666666666667,0.09523809523809522,15.0
dbservice2,0.2222222222222222,0.1,0.13793103448275865,20.0
logservice1,0.18181818181818182,0.14285714285714285,0.16,14.0
logservice2,0.08333333333333333,0.3076923076923077,0.13114754098360656,13.0
mobservice1,0.8738574040219378,0.9174664107485605,0.895131086142322,1563.0
mobservice2,0.9175329175329175,0.8492623476587556,0.8820786142571619,1559.0
redisservice1,0.047619047619047616,0.18181818181818182,0.07547169811320754,11.0
redisservice2,0.0,0.0,0.0,12.0
webservice1,0.25,0.35294117647058826,0.2926829268292683,17.0
webservice2,0.7142857142857143,0.29411764705882354,0.4166666666666667,17.0
accuracy,0.8577599506325209,0.8577599506325209,0.8577599506325209,0.8577599506325209
macro avg,0.3457335487500021,0.32128218809710274,0.3086347662713086,3241.0
weighted avg,0.8712628324313504,0.8577599506325209,0.86247198061927,3241.0
