,precision,recall,f1-score,support
dbservice1,0.08064516129032258,0.07246376811594203,0.07633587786259542,69.0
dbservice2,0.08637873754152824,0.2988505747126437,0.13402061855670103,87.0
logservice1,0.11363636363636363,0.18181818181818182,0.13986013986013987,55.0
logservice2,0.0,0.0,0.0,51.0
mobservice1,0.9280757097791799,0.6660126773317235,0.7755030313680696,6626.0
mobservice2,0.7438626194219373,0.9267741449450053,0.82530524620958,6637.0
redisservice1,0.1,0.23404255319148937,0.14012738853503184,47.0
redisservice2,0.0,0.0,0.0,48.0
webservice1,0.037037037037037035,0.01282051282051282,0.01904761904761905,78.0
webservice2,0.1111111111111111,0.23684210526315788,0.15126050420168066,76.0
accuracy,0.7721068680121969,0.7721068680121969,0.7721068680121969,0.7721068680121969
macro avg,0.22007467398174801,0.26296245181986566,0.22614604256414172,13774.0
weighted avg,0.8074494451668885,0.7721068680121969,0.773937910692846,13774.0
