,precision,recall,f1-score,support
dbservice1,0.03225806451612903,0.028985507246376812,0.030534351145038167,69.0
dbservice2,0.13253012048192772,0.25287356321839083,0.17391304347826086,87.0
logservice1,0.07692307692307693,0.01818181818181818,0.029411764705882353,55.0
logservice2,0.11594202898550725,0.1568627450980392,0.13333333333333333,51.0
mobservice1,0.9768588770864947,0.7772411711439783,0.8656917128929231,6626.0
mobservice2,0.8204338339109228,0.9630857315051982,0.8860548932630995,6637.0
redisservice1,0.07627118644067797,0.3829787234042553,0.127208480565371,47.0
redisservice2,0.11214953271028037,0.25,0.15483870967741936,48.0
webservice1,0.07407407407407407,0.02564102564102564,0.0380952380952381,78.0
webservice2,0.0967741935483871,0.039473684210526314,0.056074766355140186,76.0
accuracy,0.8428924059822854,0.8428924059822854,0.8428924059822854,0.8428924059822854
macro avg,0.2514214988677478,0.28953239696496086,0.24951562935117053,13774.0
weighted avg,0.8685847651157791,0.8428924059822854,0.8467488555068714,13774.0
